Senior Python Developer,"Nile Bits, LLC","6th of October, Giza, Egypt",4 days ago,"AWS, APIs, RESTful, Python, Software Engineering"
Full Stack Developer - Python,Pyramids Pharmacy,"6th of October, Giza, Egypt",6 days ago,"Python, Django, React, AWS, Docker, Github"
Python Artisan Developer,coto,"Cairo, Egypt",1 days ago,"Django, API, AI, Data Processing, Computer Science, Docker, Engineering, Information Technology (IT), MongoDB"
Python Developer,Afaqy,"Maadi, Cairo, Egypt",1 month ago,"Computer Science, Software Development, Python"
Full-Stack Python Team Leader (Django/React),RDI,"Riyadh, Saudi Arabia",1 month ago,"React, Django, Full Stack Development, Information Technology (IT), Computer Science, RESTful API, Microservice Architecture, Database Systems"
Senior Full-Stack Python (Django/React) in KSA,RDI,"Dokki, Giza, Egypt",1 month ago,"React, Django, Full Stack Development, Information Technology (IT), Computer Science, RESTful API, Microservice Architecture, Database Systems"
DAZU Pay - Python Developer (FinTech),Bright Creations,"Smart Village, Giza, Egypt",2 months ago,"Python, Django, Flask, Python Scripting, Web Scraping, WWeb Scraping, CI, Computer Science"
Junior data engineer,Al Soug-Cashi,"Dokki, Giza, Egypt",3 days ago,"AWS, BI, Data, Engineering, Python, SQL, Database, Software Development"
Senior Renewable Energy Engineer,Storlytics,"Charlotte, United States",9 days ago,"English, AutoCAD, Electrical Engineering, Renewable Energy, Power, PVsyst, Python"
Backend Java Staff Engineer,Confidential,"Cairo, Egypt",6 hours ago,"Agile, API, backend, Computer Science, Information Technology (IT), Java, Kotlin, Python"
"Instructor for Kids , ages 7-17 (with focus on schools)",CodeTreps,"Mahta Alraml, Alexandria, Egypt",2 days ago,"Computer Science, Entrepreneurship, Education, Programming, Teaching, Training, Instructor"
Full Stack Software Engineer - Internet of Things (IoT),CONSULTIX,"New Cairo, Cairo, Egypt",3 days ago,"Computer Science, Full Stack, Information Technology (IT), JavaScript, Software, Software Development, SQL, Python, Development"
Senior Odoo Developer,willys kitchen-Egypt,"Cairo, Egypt",3 days ago,"Information Technology (IT), Software Development, Odoo, JavaScript, HTML, Python, XML, Software Engineering"
Data Science Instructor,EpsilonAI,"Nasr City, Cairo, Egypt",3 days ago,"Data Science, Computer Science, Computer Engineering, Python, Machine Learning, Deep Learning, Artificial Intelligence (AI)"
Data Scientist,Al Ateeq Software,"Heliopolis, Cairo, Egypt",4 days ago,"Data Mining, Computer Science, Data Science, Information Technology (IT), Python, SQL, Research"
